"""key""","th_TH","en_GB"
"home.welcome","ยินดีต้อนรับสู่ Next JS Boilerplate","Welcome to Next JS Boilerplate"
"home.welcome_2","ล็อกอินเพื่อเข้าถึงฟีเจอร์เพิ่มเติม","Force Update"
"home.name","คุณกำลังเข้าสู่ระบบด้วย {name}","You are signed in {name}"
"home.home","หน้าแรก","Home"
"home.profile","โปร์ไฟล์","Profile"
"home.login","ล็อกอิน","Sign in"
"home.logout","ออกจากระบบ","Sign out"
"profile.welcome","โปร์ไฟล์","Profile"
"login.welcome","เข้าสู่ระบบ","Login"
"login.email","อีเมลล์","Email"
"login.password","พาสเวิร์ด","Password"
"login.button","เข้าสู่ระบบ","Login"